OR,NZ
Adula_californiensis,Xenostrobus pulex
Balanus_glandula,Chamaesipho spp
Chthamalus_dalli,Chamaesipho spp
Hiatella_arctica,Mytilus galloprovincialis
Limpets,Notoacmea spp
Littorina_sitkana,Austrolittorina cincta
Modiolus_modiolus,Mytilus galloprovincialis
Mytilus_californianus,Mytilus galloprovincialis
Mytilus_trossulus,Mytilus galloprovincialis
Nucella_ostrina,Haustrum scobina
Pollicipes_polymerus,Calantica spinosa
Semibalanus_cariosus,Chamaesipho spp
